Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2019-08-31,Georgia,@,Vanderbilt,W,2,41,20.5,0
2,2019-09-14,Georgia,,Arkansas State,W,3,16,5.3,1
3,2019-09-21,Georgia,,Notre Dame,W,5,82,16.4,1
4,2019-10-05,Georgia,@,Tennessee,W,5,58,11.6,1
5,2019-10-12,Georgia,,South Carolina,L,4,48,12.0,0
6,2019-11-02,Georgia,N,Florida,W,7,132,18.9,1
7,2019-11-09,Georgia,,Missouri,W,6,93,15.5,0
8,2019-11-16,Georgia,@,Auburn,W,1,6,6.0,0
