Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2019-08-31,Texas,,Louisiana Tech,W,4,59,14.8,1
2,2019-09-07,Texas,,Louisiana State,L,3,49,16.3,0
3,2019-10-12,Texas,N,Oklahoma,L,6,82,13.7,0
4,2019-10-19,Texas,,Kansas,W,8,96,12.0,0
5,2019-10-26,Texas,@,Texas Christian,L,7,101,14.4,0
6,2019-11-09,Texas,,Kansas State,W,7,110,15.7,1
7,2019-12-31,Texas,N,Utah*,W,3,62,20.7,1
