Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD
1,2018-08-31,Michigan State,,Utah State,W,3,69,23.0,1,0,0,,0
2,2018-09-08,Michigan State,@,Arizona State,L,5,64,12.8,0,0,0,,0
3,2018-09-22,Michigan State,@,Indiana,W,5,79,15.8,0,0,0,,0
4,2018-09-29,Michigan State,,Central Michigan,W,3,66,22.0,0,0,0,,0
5,2018-10-06,Michigan State,,Northwestern,L,7,96,13.7,1,2,50,25.0,1
6,2018-10-13,Michigan State,@,Penn State,W,8,100,12.5,2,0,0,,0
