Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2018-09-01,Mississippi,N,Texas Tech,W,4,81,20.3,1
2,2018-09-08,Mississippi,,Southern Illinois,W,7,93,13.3,1
3,2018-09-15,Mississippi,,Alabama,L,2,92,46.0,1
4,2018-09-22,Mississippi,,Kent State,W,5,102,20.4,1
5,2018-09-29,Mississippi,@,Louisiana State,L,3,37,12.3,0
6,2018-10-06,Mississippi,,Louisiana-Monroe,W,4,115,28.8,1
7,2018-10-13,Mississippi,@,Arkansas,W,1,49,49.0,0
