Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-03,UCLA,,Texas A&M,W,4,100,25.0,1,1,5,5.0,0,0,0,,0,0,0,0,0.0,0.0
2,2017-09-16,UCLA,@,Memphis,L,4,62,15.5,1,0,0,,0,0,0,,0,0,0,0,0.0,0.0
3,2017-09-23,UCLA,@,Stanford,L,11,158,14.4,1,0,0,,0,0,0,,0,1,0,1,0.0,0.0
4,2017-09-30,UCLA,,Colorado,W,7,146,20.9,0,0,0,,0,2,39,19.5,0,0,0,0,0.0,0.0
5,2017-10-14,UCLA,@,Arizona,L,6,77,12.8,0,1,-2,-2.0,0,0,0,,0,0,0,0,0.0,0.0
6,2017-11-11,UCLA,,Arizona State,W,7,162,23.1,1,0,0,,0,0,0,,0,0,0,0,0.0,0.0
7,2017-11-18,UCLA,@,Southern California,L,10,204,20.4,3,1,3,3.0,0,0,0,,0,0,0,0,0.0,0.0
8,2017-11-24,UCLA,,California,W,12,227,18.9,1,1,-12,-12.0,0,1,19,19.0,0,0,0,0,0.0,0.0
9,2017-12-26,UCLA,N,Kansas State*,L,8,128,16.0,1,0,0,,0,0,0,,0,0,0,0,0.0,0.0
